depth,strike,dip,dip_direction,aperture
5200.824,228.25,76.41,318.25,4.31
5200.965,207.8,86.11,297.8,5.87
5205.068,233.97,84.07,323.97,7.22
5208.82,206.68,82.67,296.68,5.52
5221.97,214.65,77.2,304.65,5.44
5232.421,211.99,79.37,301.99,9.95
5248.538,214.61,79.88,304.61,12.24
5252.678,226.41,84.78,316.41,10.21
5269.203,245.5,80.63,335.5,8.22
5280.625,238.08,81.7,328.08,2.67
5290.003,226.76,83.85,316.76,5.28
5298.556,212.76,82.34,302.76,2.28
5422.927,220.49,75.45,310.49,2.21
5480.591,235.58,78.23,325.58,2.79
5486.787,203.03,80.78,293.03,1.92
5541.466,228.51,78.7,318.51,0.25
5629.328,190,82.13,280,0.79
5654.138,162.75,18.04,252.75,9.69
5691.056,7.48,15.89,97.48,9.44
5715.484,162.8,7.92,252.8,2.69
5857.44,224.46,85.04,314.46,1.15
5878.717,219.11,86.63,309.11,3.08
6000.143,5.74,11.19,95.74,11.29
6020.27,0.37,40.44,90.37,11.04
6114.419,201.54,56.87,291.54,5.53
6142.558,208.4,59.07,298.4,4.22
6154.562,200.38,56.88,290.38,0.25
6164.197,351.6,5.34,81.6,16.72
